#K-Path     Energy-Level
#Band-index    1
  0.192      -20.0900
  0.160      -20.0900
  0.128      -20.0900
  0.096      -20.0900
  0.064      -20.0900
  0.032      -20.0900
  0.000      -20.0900
#Band-index    7
  0.000      -20.0899
  0.032      -20.0899
  0.064      -20.0899
  0.096      -20.0899
  0.128      -20.0899
  0.160      -20.0899
  0.192      -20.0899
  0.224      -20.0899
  0.255      -20.0899
  0.287      -20.0900
  0.319      -20.0900
  0.351      -20.0900
  0.383      -20.0900
  0.415      -20.0900
  0.447      -20.0900
  0.479      -20.0900
  0.511      -20.0900
  0.543      -20.0900
  0.575      -20.0900
  0.607      -20.0900
  0.607      -20.0900
  0.618      -20.0900
  0.629      -20.0900
  0.641      -20.0900
  0.652      -20.0900
  0.663      -20.0900
  0.675      -20.0900
  0.686      -20.0900
  0.697      -20.0900
  0.708      -20.0900
  0.720      -20.0900
  0.731      -20.0900
  0.742      -20.0900
  0.754      -20.0900
  0.765      -20.0900
  0.776      -20.0900
  0.787      -20.0900
  0.799      -20.0900
  0.810      -20.0900
  0.821      -20.0900
  0.821      -20.0900
  0.855      -20.0900
  0.889      -20.0900
  0.923      -20.0900
  0.957      -20.0900
  0.991      -20.0900
  1.025      -20.0900
  1.058      -20.0900
  1.092      -20.0900
  1.126      -20.0900
  1.160      -20.0900
  1.194      -20.0900
  1.228      -20.0900
  1.262      -20.0900
  1.295      -20.0900
  1.329      -20.0899
  1.363      -20.0899
  1.397      -20.0899
  1.431      -20.0899
  1.465      -20.0899
  1.465      -20.0899
  1.493      -20.0899
  1.520      -20.0899
  1.548      -20.0899
  1.575      -20.0899
  1.603      -20.0900
  1.631      -20.0900
  1.658      -20.0900
  1.686      -20.0900
  1.714      -20.0900
  1.741      -20.0900
  1.769      -20.0900
  1.797      -20.0900
  1.824      -20.0900
  1.852      -20.0900
  1.880      -20.0900
  1.907      -20.0900
  1.935      -20.0900
  1.963      -20.0900
  1.990      -20.0900
  1.990      -20.0900
  2.013      -20.0900
  2.035      -20.0900
  2.058      -20.0900
  2.081      -20.0900
  2.103      -20.0900
  2.126      -20.0900
  2.148      -20.0900
  2.171      -20.0900
  2.194      -20.0900
  2.216      -20.0900
  2.239      -20.0900
  2.261      -20.0900
  2.284      -20.0900
  2.306      -20.0900
  2.329      -20.0900
  2.352      -20.0900
  2.374      -20.0900
  2.397      -20.0900
  2.419      -20.0900
  2.419      -20.0900
  2.435      -20.0900
  2.451      -20.0900
  2.467      -20.0900
  2.483      -20.0900
  2.499      -20.0900
  2.515      -20.0900
  2.531      -20.0900
  2.547      -20.0900
  2.563      -20.0900
  2.579      -20.0900
  2.595      -20.0900
  2.611      -20.0900
  2.627      -20.0900
  2.643      -20.0900
  2.659      -20.0900
  2.675      -20.0900
  2.691      -20.0900
  2.707      -20.0900
  2.723      -20.0900
#Band-index    8
  2.723      -20.0900
  2.707      -20.0900
  2.691      -20.0900
  2.675      -20.0900
  2.659      -20.0900
  2.643      -20.0900
  2.627      -20.0900
  2.611      -20.0900
  2.595      -20.0900
  2.579      -20.0900
  2.563      -20.0900
  2.547      -20.0900
  2.531      -20.0900
  2.515      -20.0900
  2.499      -20.0900
  2.483      -20.0900
  2.467      -20.0900
  2.451      -20.0900
  2.435      -20.0900
  2.419      -20.0900
  2.419      -20.0900
  2.397      -20.0900
  2.374      -20.0900
  2.352      -20.0900
  2.329      -20.0900
  2.306      -20.0900
  2.284      -20.0900
  2.261      -20.0900
  2.239      -20.0900
  2.216      -20.0900
  2.194      -20.0900
  2.171      -20.0900
  2.148      -20.0900
  2.126      -20.0900
  2.103      -20.0900
  2.081      -20.0900
  2.058      -20.0900
  2.035      -20.0900
  2.013      -20.0900
  1.990      -20.0900
  1.990      -20.0900
  1.963      -20.0900
  1.935      -20.0900
  1.907      -20.0900
  1.880      -20.0900
  1.852      -20.0900
  1.824      -20.0900
  1.797      -20.0900
  1.769      -20.0900
  1.741      -20.0900
  1.714      -20.0900
  1.686      -20.0900
  1.658      -20.0900
  1.631      -20.0900
  1.603      -20.0900
  1.575      -20.0899
  1.548      -20.0899
  1.520      -20.0899
  1.493      -20.0899
  1.465      -20.0899
  1.465      -20.0899
  1.431      -20.0899
  1.397      -20.0899
  1.363      -20.0899
  1.329      -20.0899
  1.295      -20.0900
  1.262      -20.0900
  1.228      -20.0900
  1.194      -20.0900
  1.160      -20.0900
  1.126      -20.0900
  1.092      -20.0900
  1.058      -20.0900
  1.025      -20.0900
  0.991      -20.0900
  0.957      -20.0900
  0.923      -20.0900
  0.889      -20.0900
  0.855      -20.0900
  0.821      -20.0900
  0.821      -20.0900
  0.810      -20.0900
  0.799      -20.0900
  0.787      -20.0900
  0.776      -20.0900
  0.765      -20.0900
  0.754      -20.0900
  0.742      -20.0900
  0.731      -20.0900
  0.720      -20.0900
  0.708      -20.0900
  0.697      -20.0900
  0.686      -20.0900
  0.675      -20.0900
  0.663      -20.0900
  0.652      -20.0900
  0.641      -20.0900
  0.629      -20.0900
  0.618      -20.0900
  0.607      -20.0900
  0.607      -20.0900
  0.575      -20.0900
  0.543      -20.0900
  0.511      -20.0900
  0.479      -20.0900
  0.447      -20.0900
  0.415      -20.0900
  0.383      -20.0900
  0.351      -20.0900
  0.319      -20.0900
  0.287      -20.0900
  0.255      -20.0899
  0.224      -20.0899
  0.192      -20.0899
  0.160      -20.0899
  0.128      -20.0899
  0.096      -20.0899
  0.064      -20.0899
  0.032      -20.0899
  0.000      -20.0899
#Band-index    9
  0.000      -19.9976
  0.032      -19.9976
  0.064      -19.9976
  0.096      -19.9976
  0.128      -19.9976
  0.160      -19.9976
  0.192      -19.9976
  0.224      -19.9976
  0.255      -19.9976
  0.287      -19.9976
  0.319      -19.9976
  0.351      -19.9976
  0.383      -19.9976
  0.415      -19.9976
  0.447      -19.9976
  0.479      -19.9977
  0.511      -19.9977
  0.543      -19.9977
  0.575      -19.9976
  0.607      -19.9977
  0.607      -19.9977
  0.618      -19.9976
  0.629      -19.9976
  0.641      -19.9977
  0.652      -19.9977
  0.663      -19.9977
  0.675      -19.9977
  0.686      -19.9977
  0.697      -19.9977
  0.708      -19.9977
  0.720      -19.9977
  0.731      -19.9977
  0.742      -19.9977
  0.754      -19.9976
  0.765      -19.9977
  0.776      -19.9977
  0.787      -19.9977
  0.799      -19.9977
  0.810      -19.9977
  0.821      -19.9977
  0.821      -19.9977
  0.855      -19.9977
  0.889      -19.9977
  0.923      -19.9976
  0.957      -19.9976
  0.991      -19.9976
  1.025      -19.9976
  1.058      -19.9976
  1.092      -19.9976
  1.126      -19.9976
  1.160      -19.9976
  1.194      -19.9976
  1.228      -19.9976
  1.262      -19.9976
  1.295      -19.9976
  1.329      -19.9976
  1.363      -19.9976
  1.397      -19.9976
  1.431      -19.9976
  1.465      -19.9976
  1.465      -19.9976
  1.493      -19.9976
  1.520      -19.9976
  1.548      -19.9976
  1.575      -19.9976
  1.603      -19.9976
  1.631      -19.9976
  1.658      -19.9976
  1.686      -19.9976
  1.714      -19.9976
  1.741      -19.9976
  1.769      -19.9976
  1.797      -19.9976
  1.824      -19.9976
  1.852      -19.9976
  1.880      -19.9976
  1.907      -19.9976
  1.935      -19.9976
  1.963      -19.9976
  1.990      -19.9977
  1.990      -19.9977
  2.013      -19.9976
  2.035      -19.9976
  2.058      -19.9976
  2.081      -19.9976
  2.103      -19.9976
  2.126      -19.9976
  2.148      -19.9976
  2.171      -19.9976
  2.194      -19.9976
  2.216      -19.9976
  2.239      -19.9977
  2.261      -19.9977
  2.284      -19.9977
  2.306      -19.9977
  2.329      -19.9977
  2.352      -19.9977
  2.374      -19.9977
  2.397      -19.9977
  2.419      -19.9977
  2.419      -19.9977
  2.435      -19.9977
  2.451      -19.9977
  2.467      -19.9977
  2.483      -19.9977
  2.499      -19.9977
  2.515      -19.9977
  2.531      -19.9977
  2.547      -19.9977
  2.563      -19.9977
  2.579      -19.9977
  2.595      -19.9977
  2.611      -19.9977
  2.627      -19.9976
  2.643      -19.9976
  2.659      -19.9977
  2.675      -19.9977
  2.691      -19.9977
  2.707      -19.9976
  2.723      -19.9977
#Band-index   10
  2.723      -19.9977
  2.707      -19.9976
  2.691      -19.9977
  2.675      -19.9977
  2.659      -19.9977
  2.643      -19.9976
  2.627      -19.9976
  2.611      -19.9977
  2.595      -19.9977
  2.579      -19.9977
  2.563      -19.9977
  2.547      -19.9977
  2.531      -19.9977
  2.515      -19.9977
  2.499      -19.9977
  2.483      -19.9977
  2.467      -19.9977
  2.451      -19.9977
  2.435      -19.9977
  2.419      -19.9977
  2.419      -19.9977
  2.397      -19.9977
  2.374      -19.9977
  2.352      -19.9977
  2.329      -19.9977
  2.306      -19.9977
  2.284      -19.9977
  2.261      -19.9977
  2.239      -19.9977
  2.216      -19.9976
  2.194      -19.9976
  2.171      -19.9976
  2.148      -19.9976
  2.126      -19.9976
  2.103      -19.9976
  2.081      -19.9976
  2.058      -19.9976
  2.035      -19.9976
  2.013      -19.9976
  1.990      -19.9977
  1.990      -19.9977
  1.963      -19.9976
  1.935      -19.9976
  1.907      -19.9976
  1.880      -19.9976
  1.852      -19.9976
  1.824      -19.9976
  1.797      -19.9976
  1.769      -19.9976
  1.741      -19.9976
  1.714      -19.9976
  1.686      -19.9976
  1.658      -19.9976
  1.631      -19.9976
  1.603      -19.9976
  1.575      -19.9976
  1.548      -19.9976
  1.520      -19.9976
  1.493      -19.9976
  1.465      -19.9976
  1.465      -19.9976
  1.431      -19.9976
  1.397      -19.9976
  1.363      -19.9976
  1.329      -19.9976
  1.295      -19.9976
  1.262      -19.9976
  1.228      -19.9976
  1.194      -19.9976
  1.160      -19.9976
  1.126      -19.9976
  1.092      -19.9976
  1.058      -19.9976
  1.025      -19.9976
  0.991      -19.9976
  0.957      -19.9976
  0.923      -19.9976
  0.889      -19.9977
  0.855      -19.9977
  0.821      -19.9977
  0.821      -19.9977
  0.810      -19.9977
  0.799      -19.9977
  0.787      -19.9977
  0.776      -19.9977
  0.765      -19.9977
  0.754      -19.9976
  0.742      -19.9977
  0.731      -19.9977
  0.720      -19.9977
  0.708      -19.9977
  0.697      -19.9977
  0.686      -19.9977
  0.675      -19.9977
  0.663      -19.9977
  0.652      -19.9977
  0.641      -19.9977
  0.629      -19.9976
  0.618      -19.9976
  0.607      -19.9977
  0.607      -19.9977
  0.575      -19.9976
  0.543      -19.9977
  0.511      -19.9977
  0.479      -19.9977
  0.447      -19.9976
  0.415      -19.9976
  0.383      -19.9976
  0.351      -19.9976
  0.319      -19.9976
  0.287      -19.9976
  0.255      -19.9976
  0.224      -19.9976
  0.192      -19.9976
  0.160      -19.9976
  0.128      -19.9976
  0.096      -19.9976
  0.064      -19.9976
  0.032      -19.9976
  0.000      -19.9976
#Band-index   11
  0.000      -18.8508
  0.032      -18.8508
  0.064      -18.8506
  0.096      -18.8502
  0.128      -18.8498
  0.160      -18.8492
  0.192      -18.8485
  0.224      -18.8477
  0.255      -18.8469
  0.287      -18.8461
  0.319      -18.8452
  0.351      -18.8444
  0.383      -18.8436
  0.415      -18.8428
  0.447      -18.8421
  0.479      -18.8416
  0.511      -18.8411
  0.543      -18.8407
  0.575      -18.8405
  0.607      -18.8405
  0.607      -18.8405
  0.618      -18.8405
  0.629      -18.8404
  0.641      -18.8404
  0.652      -18.8404
  0.663      -18.8403
  0.675      -18.8402
  0.686      -18.8401
  0.697      -18.8400
  0.708      -18.8399
  0.720      -18.8398
  0.731      -18.8397
  0.742      -18.8395
  0.754      -18.8394
  0.765      -18.8392
  0.776      -18.8390
  0.787      -18.8388
  0.799      -18.8386
  0.810      -18.8384
  0.821      -18.8382
  0.821      -18.8382
  0.855      -18.8375
  0.889      -18.8368
  0.923      -18.8376
  0.957      -18.8386
  0.991      -18.8396
  1.025      -18.8407
  1.058      -18.8419
  1.092      -18.8430
  1.126      -18.8441
  1.160      -18.8452
  1.194      -18.8463
  1.228      -18.8473
  1.262      -18.8482
  1.295      -18.8489
  1.329      -18.8496
  1.363      -18.8501
  1.397      -18.8505
  1.431      -18.8508
