Cl,Cs,Zr
-1.9766062228852128,-2.6870419882800056,-4.205109181550787
-2.089227046959916,-2.7165115886771476,-3.470445036308281
-2.311389721092698,-2.31253562303847,-2.945420922788946
-2.646248694884796,-2.0498603584135475,-1.4616176092862043
-2.7693719005710755,-1.951637680000209,-0.9193237319952038
-2.46369207165304,-2.2827792550297326,-2.0911195554443682
-2.578125858703075,-2.221423953781358,-1.5272274356409088
-2.505515518214679,-2.503994031921491,-1.3977493222910193
-2.252128208095107,-2.3304973270333456,-3.2650665927847413
-2.360312241873144,-2.4356283851982354,-2.4057002737867386
-2.2879811178377802,-2.4680797152777565,-2.7747843578398808
-2.100333098012205,-2.4485078701762113,-3.9398161669964207
-2.0366766060745065,-2.8314234479764377,-3.5559239630221624
-2.1825033681467096,-2.4319098959639684,-3.4799904946138818
-2.0527860926216652,-2.963320788263823,-3.1954723631644355
-2.066344936882393,-2.770627667619921,-3.4995055388878744
-2.0672656319992395,-2.9167956577455425,-3.2016453879355544
-2.032527573160958,-2.8516568867100744,-3.540351283036179
-2.1991098895210963,-2.3260049937426137,-3.5921611708102676
-2.292929829072904,-2.323095910659906,-3.0350596996648393
-2.5545208309974465,-2.171897924399441,-1.7679096606385152
-2.3174929939295206,-2.276188662468279,-2.9814952069083933
-2.2286707138458337,-2.5020819660595004,-3.0626422802280713
-2.503908826589976,-2.2080805102758494,-1.9992165153305201
-2.697274461883241,-2.102776083411903,-1.0496315572988228
-2.6125541003095436,-1.9957743030670483,-1.7719572874307181
-2.703105411541718,-2.1542326823446025,-0.9117326614825645
-2.474897172430892,-2.3933407165738596,-1.802766027689002
-2.4761989839740575,-2.4595540148924537,-1.6625285617928218
-2.1701721756092724,-2.9035227810648196,-2.610751879636801
-2.3012594423002306,-2.6287332110404114,-2.3738074195398684
-2.237846885945964,-2.6124416325099196,-2.786865914726451
-2.123828460250802,-2.421930047773278,-3.851999638370707
-1.8249974038083818,-3.205093079570961,-4.07865991342986
-2.059257989883288,-2.7937554992139253,-3.495771557694497
-2.389725903019519,-2.627750427338182,-1.8449742226285966
-2.0482630243455984,-2.929606810201863,-3.290038728944759
-1.7102099657652832,-2.92040536571844,-5.336759969393496
-1.7490548938907575,-3.291529172293941,-4.361442787489648
-1.404310194441506,-3.2884378889038683,-6.436093550965302
-1.721773480484636,-2.865058583902036,-5.3780724447101855
-1.5455999333086705,-3.2051079977072057,-5.755014900155639
-1.7348256562865179,-3.1369371674035,-4.756002222895968
-1.8672938452271846,-3.084661248978982,-4.0657449261010035
-2.0883208515325236,-2.9540768046779475,-3.000751776871038
-2.3202795922481942,-2.205616683019053,-3.105919575894803
-1.9707859676913562,-3.0361647767991973,-3.541785135675543
-1.7919063186724702,-2.8869837231753066,-4.91342513703664
-1.6053879597314356,-3.317330230115415,-5.171842276802631
-1.7776198789569262,-3.1165754160742427,-4.539960389532031
-1.423194718017616,-3.1316951382019313,-6.636271910912515
-1.6112575697057188,-3.404169806821488,-4.962945463544786
-1.309864469230197,-3.4898585612131585,-6.599926557614575
-1.6237948877384256,-3.354625952135711,-4.986809264720099
-1.4118469798275688,-3.5550802845038834,-5.857588047448894
-1.3873758096306743,-3.5696765841664444,-5.975222469305139
-1.5157876072246224,-3.3029506205683683,-5.738203610937602
-1.3089118732466274,-3.233026186787443,-7.119306882367423
-1.1944070802042908,-3.6647160111709485,-6.942955991854433
-1.4169926516075277,-3.4580912583807186,-6.02069206901547
-1.6654965470969862,-3.370917427609899,-4.704016357620358
-1.855113496412322,-2.891795402109734,-4.524558712728675
-1.6665347087620654,-3.0579829371832643,-5.323656368483155
-1.9674424142371936,-2.9167230149077636,-3.800729980183386
-2.1137323213360704,-2.8515362230136367,-3.053364121378381
-1.8209462218426027,-2.845098547583562,-4.822956069199335
-1.6617860774649098,-3.0599910359566835,-5.348131958719248
-1.783596087096334,-3.189389317245372,-4.358475338353326
-1.5936496793422845,-3.1951642362244583,-5.48660394691945
-1.721678633351906,-3.248413788210359,-4.611931118889921
-1.529187742423643,-3.015058288237457,-6.233587464405303
-1.6344421733073844,-3.368301708997719,-4.895574037582328
-1.3088012437272551,-3.205083358148258,-7.175856316762029
-1.1900607940507966,-3.4254062598855417,-7.447653211346211
-1.0559686785306401,-3.962567573306792,-7.177883277624649
-1.2055683953751994,-3.5456427665679153,-7.114134590035049
-1.1284384366190894,-3.9593619775754316,-6.749475920556676
-1.2860780207631157,-3.4194212000129203,-6.883519970817541
-1.10931127396561,-3.8320868918908633,-7.1187890678466905
-0.8053160385414692,-4.200716395786003,-8.205501472601254
-0.7699491147854725,-3.8311067806687746,-9.156922245371689
-1.1017138662878276,-3.9751810687283213,-6.878185160238466
-1.0591200523529498,-3.6712679192085744,-7.741574342887227
-0.824422773537059,-3.8200580600029177,-8.852177734193884
-0.7594351951494785,-4.105343437969401,-8.671532448586401
-0.958564387717185,-3.723438966200069,-8.240566236718825
-1.3051550037413095,-3.237501062173627,-7.132898348626964
-1.5173304872544433,-3.3658760263535483,-5.603095519188317
-1.176848171756258,-3.7580620364522703,-6.861617391979988
-1.22728163907437,-3.7760834081111754,-6.522973844753503
