Cl,Cs,Sn
-1.0839924146589406,-3.9886696261598003,-2.8198528005888273
-1.0149948571312692,-3.7177287214779406,-3.775719955118575
-0.7491019371199753,-4.288357851004052,-4.229819216134115
-0.8638031439287254,-3.8008510490332252,-4.516625579223268
-0.7414004024743375,-4.166000868088347,-4.520742389839351
-0.88074702734573,-3.799254015154474,-4.418156346478742
-0.9620962250741331,-4.037123241459954,-3.454322707497365
-0.9867700996856479,-3.776744599230245,-3.8270367442876947
-1.1070934151278289,-3.824858803978427,-3.008868442138242
-1.2063843928404252,-3.4852482733071435,-3.092343637205231
-1.2232690654353948,-3.6422129839173194,-2.6771061804150613
-1.13288507541337,-3.855915663730341,-2.7920047609211696
-1.109201033845026,-3.672170953827584,-3.3015984301367456
-0.8919137700889825,-3.904537774554105,-4.140588371219965
-1.1169524919098464,-3.4277964554839695,-3.7438386784350537
-1.0527604005637476,-3.7098005933079663,-3.564982950863651
-1.2617033972254654,-3.7629530967990976,-2.205019963911083
-1.1686545273546805,-3.7272550444485417,-2.834709287836905
-1.0586263873642734,-3.8181148881888953,-3.31315844029864
-1.0801460407695866,-3.878520276309129,-3.0632297436262923
-1.2443552990822468,-3.475611678190798,-2.8837913899869942
-1.432867312683547,-3.6373511663717397,-1.42924033201731
-1.543257865383171,-3.440028567093252,-1.1615422143765401
-1.5347926616750212,-3.3043320327381354,-1.4837265053356716
-1.3230647115830847,-3.251679559447842,-2.8593991524678786
-1.442213305436927,-3.1264828667117355,-2.3949009748170367
-1.2152745232024234,-3.4467970812348403,-3.1159052391778492
-1.1096594573768852,-3.570179130927393,-3.5028315347459733
-0.9179305328077999,-4.083481588727384,-3.626600166560502
-1.0145914477306281,-3.939629335356962,-3.334339183764378
-1.08489664502304,-3.5630471974751896,-3.6656722757734497
-0.9125874498738279,-3.6255488393819313,-4.5745241628552415
-0.7027633500995629,-4.1136315879384915,-4.85730326438771
-0.5217457670098768,-4.50706250296095,-5.156546932880911
-0.4394431368596783,-4.352062878787423,-5.960361962129156
-0.17047300167504892,-4.340458507158803,-7.59739151649417
-0.08127166923782596,-4.54350394128508,-7.726508642864954
-0.16448861710849041,-4.459414162945685,-7.395386512319759
-0.26616198010701414,-4.733398241589656,-6.237378177040674
-0.06550497490624826,-4.816951751210563,-7.274213189003456
-0.1377075126535468,-4.5327103258896795,-7.409480813161432
-0.12356802140220143,-4.9098078074332845,-6.740122797582292
-0.11427620657069681,-4.670184764398893,-7.275119772640103
-0.28948694462429525,-4.378692617387038,-6.806839638342224
-0.3767361305892759,-4.451674979930965,-6.137379797464485
-0.5887560057570411,-4.047086819623908,-5.67443686707201
-0.7403677080238428,-3.8179424997567932,-5.223055293205427
-0.8371584612438673,-3.9575371125105736,-4.36312154837772
-0.8496778336669705,-3.741613198314628,-4.719853142230991
-1.1184657476420246,-3.7033745240843086,-3.1836030068413064
-1.3699577059812653,-3.623411536334391,-1.8345772323056975
-1.5456200028786056,-3.054228796911773,-1.9189689297668893
-1.346971909823261,-3.628471273900074,-1.9623725341223557
-1.1745316763293576,-3.822428007601335,-2.609100467683254
-1.2732714795133497,-3.617123769098119,-2.4272701255857334
-1.2897206030904054,-3.7556312178842264,-2.0515604865511854
-1.083623942776472,-3.718285361963829,-3.3628321602755795
-1.159980472908558,-3.560459489040579,-3.2203447253295647
-1.3404435138925066,-3.1880004398957964,-2.8824845777154375
-1.1829075015341501,-3.668332927931299,-2.867035675794571
-1.4053502335567531,-3.2976494159294125,-2.2737463076627256
-1.211507979917048,-3.573930954537313,-2.884236752285157
-1.0218216142235699,-3.7608026965382813,-3.648611462444089
-0.9825285731023113,-4.013811530506553,-3.3783520412350967
-0.95639917563572,-3.655120760172473,-4.252509966702804
-1.1403260971462608,-3.4071849481784757,-3.644820061627554
-1.1802636639956714,-3.4954832555873487,-3.228598045713345
-1.3714639775495554,-3.3913418671970303,-2.2896789411706777
-1.346503551573838,-3.296207721879588,-2.629709787659867
-1.2664286593911538,-3.281817577879134,-3.13893942875688
-1.1992045016902875,-3.7885135239863423,-2.52889248274766
-1.0866718656901948,-3.874009942866569,-3.0330954609877625
-1.1394219359083717,-3.9403423814440393,-2.5839301625237607
-0.8766200147692255,-3.6486526914556126,-4.744121069335492
-0.8745226068273719,-4.145649438241425,-3.762712023414988
-0.7661042228990753,-3.8808080304642547,-4.94290514253911
-0.7814376968276159,-3.9074451057455097,-4.7976301484053545
-0.5104479188579442,-4.349956475643905,-5.538546076426595
-0.7349073704920771,-4.22937209470659,-4.432958128496429
-0.683792888955222,-4.277735887639627,-4.642917431851484
-0.882915058821179,-3.9111518833168275,-4.18135242130134
-0.7387991712395906,-3.8904225051404504,-5.087506503143627
-0.4835790794179783,-4.244071333245526,-5.9115293978631485
-0.24170125809168738,-4.293724991078288,-7.2634890101553715
-0.4562421808375953,-4.358158666057752,-5.847376123720995
-0.18354375084369567,-4.350398791073052,-7.499086453653793
-0.23221240882124483,-4.571557428146429,-6.764757231641744
-0.18903285611689985,-4.373110930413821,-7.4207275433330295
-0.11567138781193817,-4.522597736033421,-7.5619227419236
-0.08004932756708019,-4.595556368689251,-7.629737838081088
-0.15728473572954643,-4.782341780605565,-6.792754565273662
-0.3078767017195076,-4.596290688221289,-6.261304954102447
-0.21956453376084065,-4.7115673842232875,-6.560624569850452
-0.2735560260316373,-4.6406639622681,-6.3784824601360475
-0.10847144696612793,-4.8217616513138175,-7.0067945564376695
-0.3030442314500179,-4.448519976350338,-6.585841199461288
-0.5773673694515723,-3.9448568306644947,-5.9472286628236475
-0.6851797806587117,-4.2723624673292235,-4.645342922251355
-0.5814628235347408,-4.445461413203733,-4.921446773246159
-0.6042292880136737,-4.137940447274488,-5.399889918231052
-0.814269439206782,-4.158898424558566,-4.097733056504247
-1.0693769355849008,-3.882453853769008,-3.119977219814649
-1.0158747489868822,-3.8924417195215675,-3.4210146078976424
-1.1255604699212676,-3.9271201426498066,-2.6935434360348514
-0.9661914433911812,-3.673296147092023,-4.157405586330938
-0.8086594871351056,-3.817585587357129,-4.814018443337178
-0.7417050553360645,-3.904984318506661,-5.040947571832362
-0.9395960886664545,-4.115040166291762,-3.43348967627982
-0.8366585219893236,-3.944081607795901,-4.393032193334329
-0.6089574398592132,-4.440423539445328,-4.766554822816133
-0.3256176511703399,-4.343469546613091,-6.660501540613851
-0.31655442630344127,-4.19384502831171,-7.014129926418005
-0.3630341395574416,-4.328003462397967,-6.4669347787214875
-0.4003892628594294,-4.542711925466986,-5.813387112771522
-0.46533197007259963,-4.207716334516431,-6.09372205139361
-0.508589679003042,-4.465583735612473,-5.318440995618875
-0.3807114820672408,-4.5745824484164475,-5.867712751625729
-0.5815058937417696,-4.321934157153485,-5.168242864104482
-0.3543074581323515,-4.472509154729583,-6.230283482608794
-0.25349221835144226,-4.82753952480413,-6.125114181145158
-0.15242628043342915,-4.766522886947274,-6.853543084366948
-0.34462149542024084,-4.551318685420003,-6.130780197500619
-0.4722460476048912,-4.243415063447251,-5.980840128338222
-0.749864386437799,-4.275879211882157,-4.250201798470964
-0.847615803660832,-4.052393639914426,-4.110664439068225
-0.7457299786503634,-3.9491323812793477,-4.928501906401197
-0.753322215455292,-4.096588338843006,-4.588036570444307
-0.7484993881313301,-4.048380327506346,-4.713389557061397
-0.6006007865673852,-4.049710303779177,-5.598121213899405
-0.8557780893668941,-3.8002620795811377,-4.56595384549843
-0.9512869511547578,-3.610090365746562,-4.3732441024404
-0.8515107258724894,-3.6931666239236787,-4.805748937779776
-0.6621997185350463,-3.9505361444162816,-5.426875940819229
-0.8846689334213689,-3.816928982612027,-4.359274975109803
-0.6464989160188493,-4.159336471184181,-5.103480102380612
-0.35896807219094407,-4.231628379074627,-6.68408134956715
-0.10709944054115794,-4.759371213628448,-7.139807470358226
-0.2883308123060467,-4.383692041615276,-6.80377758379524
-0.3805103314742991,-4.1575441251533665,-6.702996301709545
-0.3465285534268151,-4.241652853420509,-6.738669513460162
-0.5848152527420547,-4.065488575902915,-5.661277872603912
-0.4459230770167435,-4.50731005867862,-5.610987961404369
-0.3484486970148132,-4.711483531438476,-5.78748729589624
-0.49655305097362223,-4.179282096330087,-5.963264042360165
-0.6107280349890217,-4.3584515830757145,-4.91987516477651
-0.5607289700283294,-4.2454439414146465,-5.445884837862801
-0.7104423882886758,-3.8868799835997176,-5.264732243930581
-0.9407278680305889,-3.7557582624185004,-4.145262807841536
-0.7203668343609869,-3.8143464430986764,-5.350252648498797
-0.858910232531388,-3.986509166683013,-4.174666812307716
-1.1205429873163755,-3.8634543607076464,-2.850979895548524
-1.2656231244027105,-3.3317005362156498,-3.044006722014507
-1.1390592758441518,-3.5499623524782726,-3.3668661808406153
-1.059158019678428,-3.872309567521334,-3.2015792877488334
-1.041316322071562,-3.5737546126747204,-3.905739383083258
-1.0209229057560396,-3.496004599246043,-4.183599907833747
-0.8042277798196303,-3.9321290486381923,-4.611521764667905
-0.8277597992540274,-3.7627681541762437,-4.80905143698542
-1.062016054194809,-3.851170871602509,-3.2267084724881987
-1.0753611634284859,-3.5608549441304613,-3.727269672030232
-0.9021386424610411,-3.8085779192562956,-4.271158847583233
-0.7322951472048409,-4.163818687819891,-4.579738281993243
-0.8838571110823676,-3.759090076289359,-4.479823721789147
-0.6680636567417758,-4.148366446746112,-4.99603170691919
-0.39810367453897727,-4.239805110918001,-6.432914271792206
-0.17165354743216563,-4.733948316365728,-6.803328623537619
-0.41420075141707274,-4.6501655597818,-5.515610912796034
-0.6369220018791002,-4.160204486994184,-5.159205555599101
-0.47379604758952126,-4.42299276198068,-5.612384731363583
-0.40789921051626543,-4.670808559351027,-5.512134159062423
-0.5923877384158196,-4.083035814860245,-5.580748480646664
-0.3176413405684496,-4.465592246560293,-6.4641140043307885
-0.14542934278249153,-4.5526884163844095,-7.323193651398303
-0.05198842227276238,-4.963447555317466,-7.062320896590565
-0.1766305826163787,-4.524444250583913,-7.192474543995973
-0.18125341671589132,-4.518378187403594,-7.1768696657595346
-0.16599914655790357,-4.507170937645214,-7.29080978622422
-0.10455499740897352,-4.949339263049483,-6.775138030309264
-0.1843051996101084,-4.32597937519201,-7.543356592817401
-0.44434037682581784,-4.182824479234924,-6.269455321437315
-0.6734197478814149,-4.276608619164925,-4.7074108152437315
-0.8836722909374579,-3.898917715225854,-4.201277364785616
-0.8532285490336473,-3.852555784745436,-4.476663677169315
-0.9397547457253885,-3.7151721170544394,-4.232273832400861
-0.7835768796214637,-4.173881207319843,-4.251922848493602
-0.523470776834876,-4.440890005539815,-5.278541868773183
-0.27427350190353084,-4.499312659302702,-6.6568802108354825
-0.5164189119889193,-4.50780955010665,-5.187013968715255
-0.2950804256375729,-4.520309284974932,-6.49004541708677
-0.09189297535764075,-4.898793438152116,-6.952201812411995
-0.24711487756411638,-4.5740566137726315,-6.67034404793211
-0.38541754652198146,-4.183435243645302,-6.621770774439576
-0.6573609771962964,-4.16417461891124,-5.0286314398618135
-0.9316332289396232,-3.652997802030557,-4.405351563163218
-1.1347664075950408,-3.5593804433251233,-3.37378720864158
-0.9885407629291361,-3.919689908159912,-3.53052214696743
-1.1259568567138436,-3.621009203186407,-3.303386994206195
-0.9830468858701509,-3.7611576598753116,-3.8805499058905424
-0.9936754731638646,-4.050345532364753,-3.238402637149375
-1.2234246831577984,-3.6697033474055885,-2.621191747104104
-1.3735582469878829,-3.1884432543749957,-2.6829105501847814
-1.266061601519872,-3.572436521890618,-2.559903887961603
-1.519323608428272,-3.4327758665606996,-1.3196531571710386
-1.2572144286398672,-3.439413483086832,-2.879033002849203
-1.102479912444238,-3.570559923127056,-3.545147219942532
-1.241807963395013,-3.8001689885196774,-2.249960783452637
-1.0186073520125172,-3.8644422526522946,-3.460617923482378
-0.9726396572570926,-3.97143468253674,-3.5224392322460356
-1.249516729242968,-3.740452895748494,-2.3231403739072745
-0.9704913060574848,-3.7018383772281,-4.074521950060961
-0.7120782127124983,-4.0897655174132845,-4.849146229760513
-0.896112332825451,-4.010781998197393,-3.902908547514577
-0.6636059372665215,-3.9436673346689908,-5.432176247924961
-0.4194510297501503,-4.409739041726934,-5.9649622789073
-0.5950087969139508,-4.030342673787941,-5.670408411802484
-0.5166738471769443,-4.366235825969768,-5.46863180586087
-0.5442039738865462,-4.449625315747222,-5.136672066048349
-0.4788610150580703,-4.100669993336984,-6.22664046383968
-0.6885447384591897,-4.294170053059545,-4.581538003987842
-0.8947568876002724,-3.6888276050308684,-4.5549500051987
-1.1266569138878848,-3.6051090469765117,-3.3309869635817373
-0.8400040638381023,-4.135687912905593,-3.9897463320222712
-1.0011996261472416,-3.949282942822734,-3.3953828983331533
-1.2738342780641911,-3.6051745160599658,-2.4477918403569916
-1.2111209495655153,-3.3765818158005487,-3.2812572118678807
-1.3332538311052897,-3.6043092642268335,-2.0930050257766633
-1.4437035435208592,-3.6231726473059074,-1.3925799851251013
-1.4667574592020374,-3.419566262324329,-1.661469261001188
-1.617040084664067,-2.9821130031181253,-1.6346800266414168
-1.3689961428885253,-3.2360187259047812,-2.615132231721357
-1.5045310977612574,-3.0853677093270018,-2.1032245356405226
-1.4555636187360543,-3.541984736403023,-1.483795355639698
-1.323232446450423,-3.4018481143729984,-2.5580556334135367
-1.1270265149652214,-3.5777315763231177,-3.3835242984245077
-1.3167727329458814,-3.217692844222512,-2.9651244547417597
-1.2920750851058984,-3.48333313154239,-2.5820297671419
-1.5704833530757596,-3.3453594422458495,-1.1875275379158137
-1.43962018990284,-3.430347684112313,-1.8027300332204046
-1.471910205038815,-3.189954120473749,-2.0897770696816815
-1.3843973877911144,-3.4309902974561077,-2.1327816192031674
-1.6084487078823073,-2.921750883805554,-1.8069525259571178
-1.404901337395486,-3.5553771805372816,-1.7609841554145926
-1.6901563944424642,-3.005499388200182,-1.1492093978069218
-1.7272943195835058,-3.0457233286104572,-0.8459339661401198
-1.5686691268262527,-3.2850357915020325,-1.31906019690049
-1.4665978710364667,-3.051003201750698,-2.3995529111418756
-1.5933657503633176,-3.168315620738618,-1.4043207972049292
-1.6417328155283282,-3.035691490233896,-1.379366667224309
-1.4078750846038326,-3.422152735437778,-2.009590562363519
-1.5180927143349952,-3.284418021117563,-1.6237542126169746
-1.4279074118789956,-3.535628665577764,-1.6624447384325687
-1.5321008563864258,-3.1800642700490753,-1.7484128624453634
-1.437024946664561,-3.1395981418821886,-2.399800577110328
-1.2934271381875069,-3.49158298575634,-2.55741774022435
-1.2495927568978675,-3.5155484335425218,-2.7724931323898208
-1.0767205003245124,-3.696910573391204,-3.447002392132587
-0.8698118201427796,-3.727728034561332,-4.626819550882729
-0.8395343734947381,-4.026512343044361,-4.210915613804919
-0.9028370533800273,-4.091514423942014,-3.701095372697879
-0.6524772334943715,-4.078202509600827,-5.2298781206941864
-0.47650973549927395,-4.035838530990084,-6.370411065886259
-0.3960969039929236,-4.601641449591588,-5.721282217721354
-0.5800522165530979,-4.367790292070918,-5.0852526574016474
-0.5605684065497211,-4.033086240783367,-5.871563619997008
-0.36050556842118414,-4.433989389495433,-6.270134351344101
-0.5945255608510174,-4.016169081479582,-5.701655012796803
-0.37990888941414686,-4.397772694249661,-6.2261478158778685
-0.0930062247034253,-4.7165758737969545,-7.309957445047611
-0.26407109774934906,-4.4014911049172305,-6.913737744531516
-0.5293713358568916,-4.513587757907097,-5.097743009906527
-0.3948246771127211,-4.686983111581592,-5.55823225502256
-0.5881828310497168,-3.9421425330090263,-5.887764488545718
-0.681327274865017,-4.304678493776264,-4.60382590411944
-0.47131731555623685,-4.227426621694578,-6.018389404135494
-0.5901609649708802,-4.098871312373323,-5.562438126290145
-0.834886692117228,-4.234751208159847,-3.822323971839009
-0.5932948743771516,-4.213954602218728,-5.313468090161703
