Bi,Cl,Cs
-3.0202153556534475,-1.1726689628483558,-3.3647345303498395
-2.638981444768791,-1.2188420858824103,-3.3994662545766166
-2.6425084043044595,-1.2810576687660247,-3.2738594356308317
-2.87288677715719,-1.1927535312955004,-3.3736749196209703
-3.8896092926899284,-0.8793908640630093,-3.661492748908373
-2.8102413748814836,-1.1051441657168266,-3.569775451536886
-2.8750892820188114,-1.2000955045258224,-3.3582568048731187
-3.380340096345083,-0.9808324987324967,-3.6283658783510133
-3.906338793726574,-0.788695234666142,-3.837307507356559
-3.3064656044010987,-0.9661640303754291,-3.6823276457131424
-3.662308214854631,-0.8353236236921656,-3.8253942555951594
-3.00098371104116,-1.081160679203747,-3.5541616458431537
-2.528847640991444,-1.342023193038349,-3.1898153081905214
-1.5391527404055276,-1.5433681315687526,-3.1170237313250198
-1.9091962036528243,-1.4024144131959873,-3.275583346988118
-2.0414229625071565,-1.4590152274395078,-3.1183061322162993
-1.8568083127082322,-1.5236959836138593,-3.0504828364672383
-1.1242819252114378,-1.7980850503663968,-2.7458801654610947
-0.18367433481904197,-2.011741216186419,-2.632103697285182
-1.1568270114460264,-1.7429866127435345,-2.8452286786286227
-1.6727063908157223,-1.609128332697932,-2.940985445596596
-2.266255550791535,-1.3855535574506037,-3.190285276099315
-1.738399177695865,-1.5122174665833934,-3.112909582198959
-1.4953298792165641,-1.6401657403130943,-2.9380361342326573
-1.3221853667960954,-1.6694382002017487,-2.937206051928838
-2.4274744325285567,-1.3944504141112923,-3.118751935532264
-2.2297009284425333,-1.3461857597766824,-3.2812057455634918
-2.097283786075177,-1.4821778259234235,-3.0533606607257946
-1.15733454217685,-1.6948509332085544,-2.941330860788308
-2.0458812019038883,-1.372068750548215,-3.2907130061999745
-1.8713147722991195,-1.554169493867133,-2.984700329430394
-2.2149170461580456,-1.3901195706113003,-3.198266084655751
-1.865108657346984,-1.469353756455442,-3.156400509237822
-1.623237475291763,-1.6408852320676062,-2.893961285365234
-1.7325103103412578,-1.5907769817214243,-2.9577535077077663
-1.2725597011701004,-1.7381770441369466,-2.816270252600441
-0.2801726234029967,-2.045937808528359,-2.5315444164066507
-0.7780077662523401,-1.9134321647762664,-2.6306106562943876
-1.2979520140401057,-1.6461780629899414,-2.9918041106044497
-2.0369914010306673,-1.4476165971893074,-3.1425805798755304
-2.366109379751512,-1.2523291827510132,-3.4234494158451705
-1.9924556557232358,-1.4931045437450678,-3.06644993519982
-0.9874830652957814,-1.8120176165241937,-2.763614653117386
-1.3845664185189435,-1.6391054710200514,-2.9770778263846167
-1.9148654041036568,-1.4648464226928044,-3.1488295945108726
-0.9727747126914934,-1.7631709606718635,-2.866210749023476
-1.1570849679108735,-1.695537657047358,-2.9400406045326934
-1.1869489360786958,-1.7103875860783844,-2.9003860904147
-0.9380433486091123,-1.813206382375198,-2.7777170269776006
-1.2058765320638218,-1.8029552387034866,-2.7089415865027875
-1.5021905435840304,-1.6542075660789732,-2.9076655945784107
-1.7388911445333137,-1.4886724752198268,-3.1598355759802765
-1.110009549136432,-1.700826038679932,-2.945155647525693
-1.16560546934368,-1.7624954328646538,-2.803284885753833
-1.0168808163882206,-1.708953847700398,-2.959942940400831
-1.0937912553701366,-1.6894487253284591,-2.973316372150737
-1.50205301773922,-1.535299689777685,-3.145527189129258
-2.1544000928744076,-1.4631080059152302,-3.0724615318091044
-1.742005186376075,-1.5003237035083736,-3.1354951054555955
-1.5263369226517742,-1.6910397630812308,-2.8259524075513145
-1.7642073371799478,-1.531220037537741,-3.0663017204622367
-1.4409613725074184,-1.7061660985768436,-2.8241582532748737
-1.5187766990169045,-1.6215641244942502,-2.967423759270232
-1.8101212148823553,-1.4796213214322762,-3.154194526772363
-2.668162152028908,-1.2987170725388844,-3.2299893788436296
-2.114489692664184,-1.4496502109340696,-3.1126805885081668
-2.647040810724585,-1.2286975674017762,-3.3770688362192867
-2.3888654789052572,-1.2794426664774974,-3.3616370820076202
-2.0386589798686505,-1.452140845985308,-3.1329762226708677
