Cl,Cs,Sn
-0.345265560048263,-4.68447870871716,-5.860595763138172
-0.061154347749035144,-4.994136052500646,-6.945948349366569
-0.05180428787900759,-4.833095020837667,-7.324130771912691
-0.09249667245558224,-4.475164882300481,-7.795836741527615
-0.1318336709543216,-4.611071135146159,-7.288002244843822
-0.02666917140584186,-4.879855155566203,-7.381421201294613
-0.24403482914857588,-4.301455895969588,-7.234025774031439
-0.38404989054613825,-4.486102367058076,-6.024642463469089
-0.6271442717755168,-4.030936006169325,-5.4764088978703205
-0.7114435384720982,-4.237772996394052,-4.556939317241378
-0.7977834746580736,-3.8106097126479628,-4.893226267617703
-0.6939545618366479,-3.8435437282353364,-5.45033171337151
-0.8291507609464038,-3.7831769213916044,-4.759888132400439
-0.6484410454702499,-4.328042164204051,-4.75441593963247
-0.6547611208532127,-4.010125659461333,-5.352328496820129
-0.6502556492494332,-4.168826584736587,-5.061959475892297
-0.7327559524324406,-4.011695393948852,-4.881220038369725
-0.7797713007367959,-3.878967596665728,-4.8645835431098385
-1.0033573731139769,-3.5119642830548683,-4.257073736068473
-0.8130889525368767,-3.945972197635453,-4.530668430369904
-0.7691279508333235,-3.8523473930830203,-4.9816840496960895
-0.805987740487021,-3.7370521634959526,-4.991115770948039
-0.5774433956607968,-4.266959422441298,-5.302567322014694
-0.6481920374254548,-3.9507045457317957,-5.510585224845751
-0.6355223100940754,-4.300122256318435,-4.887768167660749
-0.4648369331681978,-4.1859615509250405,-6.140201840002803
-0.36098967489223244,-4.515641203879921,-6.103926083748835
-0.5319839171690446,-4.211194036938116,-5.686854963971572
-0.7506798549394825,-3.9187318727337916,-4.959603665757593
-0.5896665164236715,-4.092964902904648,-5.577217636510745
-0.312391702966521,-4.65442776234978,-6.117940798363385
-0.5592874695336657,-4.3961603230479485,-5.1531010775641795
-0.38102700916607,-4.402290064257918,-6.210404357349815
-0.6689063458308502,-3.933167817127755,-5.4213728316214596
-0.9008301893100293,-3.950122500213556,-3.9959204045747816
-1.0645510018932667,-3.5977738601069373,-3.718292809288596
-0.8811855394948087,-3.6913556731030766,-4.6313219576870654
-0.7171315793793269,-4.088018015990399,-4.822321032605312
