Al,Ca,O
-6.454646177429096,-5.707086682982684,-1.413931870348325
-6.668827264779181,-5.824505246654988,-1.2724796802497287
-6.853205514745478,-6.0327231002304265,-1.1450714248196756
-6.888918319847931,-6.088376911875517,-1.1195868209841744
-6.408555952462802,-5.770085856417267,-1.4397257401462695
-7.196629988643722,-6.29993768246126,-0.9141078317138985
-7.43831138596565,-6.455363065331389,-0.7532866658858324
-6.68154918791996,-5.908391318554881,-1.2600297250081895
-6.291127464789265,-5.649730622306641,-1.5202255867880095
-6.7400620872746355,-5.869263341378749,-1.2251335768460858
-7.4432166477684305,-6.419427467140582,-0.7520799530730661
-7.941864911917711,-6.782820887080785,-0.4180182378240361
-7.7619613270866274,-6.595332180905552,-0.5415093812002589
-8.448299599499398,-7.1304224887862615,-0.07986992978794577
-8.221855594461191,-6.977032755783866,-0.23096033997009702
-7.635251919293238,-6.563980641191587,-0.6231864566336608
-7.760161056141471,-6.5667604809243505,-0.5441501681119998
-7.809477754179652,-6.695163097977195,-0.5062447474008934
-7.35148482653836,-6.327725644754043,-0.814842251870297
-7.1046086575092895,-6.1950194238883745,-0.9777485807763235
-6.579855659771367,-5.903724369505081,-1.324502845367817
-7.198584295694065,-6.201357307935965,-0.9180619732886978
-6.468777314358682,-5.82816231808552,-1.3986345399136997
-6.270248434229573,-5.68409563958341,-1.5316036578111432
-6.0535733432680825,-5.522436914006497,-1.6769594376592902
-6.0195296284988,-5.457227030437644,-1.7018928303329874
-5.477947441099448,-5.069784283843481,-2.0643364616691127
-5.563880445174386,-5.20168863926729,-2.003120650915268
-5.133707176187033,-4.874207139526182,-2.2920448997357594
-5.8127279987700575,-5.368986953124893,-1.8371486005465483
-6.257034854444227,-5.663397225659519,-1.541038466829461
-7.062204525970592,-6.226765064099598,-1.002859314368595
-7.825958722889306,-6.669345124981643,-0.49719455521561556
-7.056060278465435,-6.157158603471868,-1.0104033896680482
-6.190575697603338,-5.556241523309193,-1.5886524449579347
-6.4631877978475165,-5.75236002482414,-1.4061543552502977
-6.24660787388561,-5.6522398414408626,-1.548211158983254
-6.6054349353254596,-5.824717185894458,-1.3125057862605283
-6.878021722536862,-6.104300384484404,-1.1256308049380663
-6.998785606093948,-6.158401057579128,-1.0465114746338682
-6.601587353686814,-5.845746526428153,-1.313829030425267
-7.088507371643724,-6.130768003433236,-0.9912994676627412
-6.715224030015714,-5.901253533484461,-1.2391370765829983
-6.763268582227889,-5.981797335109986,-1.2045540014160712
-7.31295299854539,-6.273514882250579,-0.8420313412607761
-7.809932538264525,-6.705871318056638,-0.5053939248167925
-7.734949040245555,-6.6717299364557885,-0.5545488383867136
-7.907613876893597,-6.700703640339298,-0.44397243082565957
-7.350935158881082,-6.361090874590596,-0.8134333456624427
-8.050251702086667,-6.762256941389022,-0.3506457359116305
-7.852172047530104,-6.635681057703217,-0.48241056424660717
-7.856199216069944,-6.733709178482424,-0.4747077146014869
-7.266378347543263,-6.299669370145758,-0.8700703583202679
-7.983256044553012,-6.761318608206293,-0.3930081687319768
-7.9561839977960105,-6.771718933312077,-0.4095589179939896
-8.312795286047049,-7.037428135076879,-0.17034604111097548
-8.322399342278466,-7.04285550643149,-0.16399467026194328
-7.701776699974308,-6.548526453992468,-0.5819841839508343
-7.341604036226431,-6.371563698053443,-0.8187754850515471
-7.051939583101202,-6.095710052660464,-1.0162400683618482
-6.618232354229208,-5.856007725115395,-1.3027763354149533
-6.362665822363347,-5.629654145253023,-1.4761001229019373
-6.998920383976789,-6.175329472365703,-1.0455353825612017
-7.739363325586341,-6.5568145238188364,-0.5578090483102666
-6.971507302869086,-6.130240903571265,-1.0652219900394575
-6.994530865922573,-6.090432067675637,-1.0527759942107102
-7.313578711971757,-6.323533717031663,-0.8390035835819607
-7.330253178570948,-6.4006755173245615,-0.8244122467670557
-6.78349217089126,-6.031460597648112,-1.1891673526529878
-6.432602127204309,-5.737169787506229,-1.4262711070943195
-7.22757442372418,-6.252798844540908,-0.8970449694483649
-7.760953149260579,-6.682502122127137,-0.5375582334471537
-7.65773309704418,-6.51263442659388,-0.6116902504013663
-7.068978276811411,-6.195679689657836,-1.0002172282818547
-7.014170209553461,-6.132297687049025,-1.0381687445820764
-7.269177742884306,-6.247766781726891,-0.8710340343374442
-8.101194702808192,-6.8032372805645425,-0.3163143491835344
-7.736974922588168,-6.66151351800426,-0.5538070399835648
-8.099678887028425,-6.84793919656168,-0.31491897409722264
-7.277518376281572,-6.321308925688555,-0.8618956267201362
-6.804116207256503,-6.022550762589384,-1.1766105841622412
-6.84808523722785,-5.981209832230863,-1.1510165089360491
-6.465619614467283,-5.778423372338817,-1.4032467159370423
-6.639703083498313,-5.9369376200495285,-1.2849564066695114
-7.380849421887161,-6.3105607009229505,-0.7971996097463744
-7.457150111827169,-6.468086584677918,-0.7407188643234762
-6.89644913967308,-6.094094890854222,-1.1145295674641482
-6.375679568951208,-5.6496448971112185,-1.4668287696960156
-7.115275793836713,-6.136513655963081,-0.9740906929866507
-6.756444771813666,-6.023332213614675,-1.2066777301774385
-6.345848710104182,-5.734735974460451,-1.4811908343704934
-5.689335024532139,-5.1666244968250075,-1.9257316609231228
-5.286928754708171,-5.011626182565829,-2.1880407952466383
-4.456334390525243,-4.360990490860385,-2.7468706932414055
-4.6592828824147405,-4.561340580634649,-2.6081479567967616
-5.573789588573651,-5.23177571526183,-1.995278714242335
-5.646087328510353,-5.277243934330889,-1.9472239195944672
-4.998354395018978,-4.747536381546657,-2.38419774878819
-5.391673977768724,-5.01917875903246,-2.121488413499624
-6.232139213156752,-5.576557141375704,-1.5613325604996462
-6.914066125655379,-6.09245355500745,-1.1034894360988428
-7.431184882197205,-6.4575885334325775,-0.7576704857342609
-8.24226884845493,-6.987996801495724,-0.21749070346290092
-8.311475288187925,-6.986900161516461,-0.1738390909988651
-7.752195504956455,-6.6616942467943705,-0.5441845285514831
-8.121105544513341,-6.906131870400814,-0.29832357600995224
-7.550300867291326,-6.541722577599781,-0.6780112296660161
-6.772887504100873,-5.985454684735471,-1.198286400779161
-7.254836439408321,-6.335188290685239,-0.8754905676402588
-7.38774222721685,-6.393983799573429,-0.7884555696091773
-7.012753682437062,-6.1041738409958315,-1.0405435957110218
-6.096385949030822,-5.554244255400101,-1.6482458265778972
-6.942902474646251,-6.123840491059932,-1.0836250611544764
-6.15527096107484,-5.502335611825169,-1.6137873265277243
-6.190093303608496,-5.5475174326848045,-1.589416277513855
-6.936265957922224,-6.005452648920517,-1.0940474844611996
-6.549198220253893,-5.879091169822225,-1.3451619229411085
-6.614283402909533,-5.794612494131113,-1.3085017378791843
-6.934541533470858,-6.128624379388047,-1.0886538719848242
-7.8271664976857735,-6.664869532187327,-0.49666730759649425
-7.4891672382537,-6.452226427885723,-0.7213322664115723
-6.864000594500234,-6.084922529209701,-1.135506141344079
-6.645993651027324,-5.817832428575102,-1.2872521109393165
-7.034886109856778,-6.1854823952664635,-1.022285822905379
-6.222657769437479,-5.580177247644966,-1.5671303088344883
-6.414396344431272,-5.752008718819444,-1.4369884998292257
-6.1818733380203685,-5.5964418925873405,-1.592032863153592
-7.0434072255906015,-6.1618952772783375,-1.0181454928623395
-6.737495359329346,-5.8911490932452555,-1.225602786502768
-7.47311859994996,-6.375439263944387,-0.7355096781792676
-7.0732738462275035,-6.173944013926765,-0.998648220004905
-7.795919220518906,-6.7142241559327775,-0.5138048182415972
-7.134775027000598,-6.197513442523469,-0.9585648727483878
-8.009840431150286,-6.770514181024504,-0.375734052311688
-7.839783113906706,-6.698072984609228,-0.48695136827685814
-7.7122744946573265,-6.574559575644919,-0.5739838335377458
-7.524242748387904,-6.427784949591202,-0.7004657062370502
-7.530331932049536,-6.440362755769826,-0.6959579162308286
-8.078771730045151,-6.764899677718371,-0.33249399528893825
-7.292325485241301,-6.239290037912946,-0.8568605519969181
-7.9185591354710265,-6.7819122911191325,-0.43278549641992337
-7.375234476660951,-6.422300117256392,-0.7948648690295894
-7.719941328889047,-6.623996307068151,-0.5665396892112258
-7.04681265363575,-6.095995044105582,-1.0194631295271275
-6.915227317967559,-6.080068714127228,-1.1034078852111622
-7.619885705664107,-6.574200951534908,-0.6323535225918849
-7.9944063621275845,-6.725205647517525,-0.38786654503691953
-8.124500114430504,-6.918899038556046,-0.2955076808962061
-8.303867235389962,-6.930454214473539,-0.18161501629457424
-7.9676599532257155,-6.769551561528736,-0.40242501834277244
-7.691430928051585,-6.549770811848698,-0.588452863172751
-7.5382423388585105,-6.540683097089876,-0.6856818518609479
-7.523404141272605,-6.4262243787683815,-0.7010774881426506
-8.299119432557925,-6.9867709689638104,-0.18164958889953164
-8.004891956629931,-6.7543369233156945,-0.37971083925658594
-7.199579137565213,-6.240583382679799,-0.9153691218572444
-6.3906588460051825,-5.7791106896570055,-1.450554184580569
-6.904400557592905,-6.087188440755701,-1.1098711166778659
-6.53431550387928,-5.766427637494823,-1.3604911928791483
-6.120273862287423,-5.53120951753611,-1.6343710780928848
-5.404698380065906,-5.114442787127867,-2.108248578991119
-6.313707849662359,-5.599276674384992,-1.5086197620219315
-5.789703242068104,-5.2429968941191625,-1.858321607884926
-5.439004165860012,-5.052821907732277,-2.089824971089347
-5.453964781810396,-5.140591743595224,-2.0757566959700013
-4.739989672117934,-4.615252129280092,-2.554337797581826
-4.667400650354662,-4.593954872759524,-2.6013044037755018
-4.723634607231738,-4.645906551707373,-2.563053921592725
-5.5153295631161825,-5.113046316001703,-2.0384497513344266
-4.957367809447208,-4.716479530859567,-2.411718584448629
-4.64751794339165,-4.585521848831626,-2.6143057462746624
-4.355478978349931,-4.292006957533365,-2.814199560579867
-3.5480113971391805,-3.753735510605289,-3.352509161709187
-3.7362222951645156,-3.872513018226985,-3.227387673081518
-4.51378918674342,-4.467867323831357,-2.7049583570525053
-4.1617513296340185,-4.244321726700202,-2.9390636140232416
-4.073082510402982,-4.138082183298985,-3.0006565284534332
-3.72067506101398,-3.988619203112604,-3.2310961270247183
-4.495047681861804,-4.48250623955531,-2.7160246277291082
-4.236526359727517,-4.3078690031625735,-2.888492685729328
-4.7785395479860595,-4.6816540317381286,-2.526495670588377
-4.341707485812407,-4.320531260553343,-2.821396066234094
-3.5000482677604543,-3.73729332422576,-3.3836670427052
-3.1420923605399613,-3.6057759074674482,-3.616666427094896
-3.2598684625044254,-3.650815579587143,-3.5399110115320926
-3.690156146021888,-3.9200080171138603,-3.253982346282815
-3.2548348495792774,-3.6860974034181084,-3.541233197388451
-3.8449902513037624,-3.972373696526593,-3.153436296662014
-3.205312618563183,-3.513426905570283,-3.581598316864291
-2.4783614491588644,-3.0828194346783424,-4.0633889223244894
-2.042227604671388,-2.741312576264952,-4.356815921917284
-1.7122676664862204,-2.655553606089293,-4.569725302359267
-1.016168574678361,-2.07099344571638,-5.040133158257542
-0.602422100417661,-1.8429480263658227,-5.3134491114406455
-0.29940936857797007,-1.6260685421355972,-5.5162402833515145
-1.1587744325804457,-2.2159730204511945,-4.942435796701761
-1.2215103538174283,-2.2676354585832077,-4.900094033913561
-0.5998814894259498,-1.800461163519391,-5.3172898585325905
-0.7037191553891917,-1.8801855692578673,-5.247512153411676
-1.0488332073332804,-2.1748083428341074,-5.014038921995607
-0.2246997887430711,-1.5584558394655748,-5.566983844440399
-0.3774217206654808,-1.7083459578817692,-5.46263893383592
-0.9716505008429722,-2.056427657590178,-5.069016456897061
-0.6166540123102264,-1.908501322488339,-5.301010362028366
-1.0618808732930634,-2.167172531659833,-5.006200175661759
-0.41209079156766953,-1.7421981869548226,-5.438960982262271
-1.0025371878862297,-2.1508192288930177,-5.044541098169591
-1.1010031127607747,-2.1571694767829253,-4.982017869412515
-1.3484464117822057,-2.287722953860316,-4.818866655447539
-1.6612766413414928,-2.4989233740166408,-4.610173856770287
-2.14903907933878,-2.941332360144751,-4.278828686133679
-1.9857658102999263,-2.7829793944270387,-4.390283012143361
-2.4357610190364296,-3.003491346762594,-4.09446961966054
-2.1184518314903906,-2.8650487740029678,-4.302161873519071
-2.0476051702093887,-2.867851034460924,-4.34675964588297
-2.796583095945727,-3.3810506030973646,-3.846710452331785
-2.0997221868576705,-2.905866012008796,-4.311842847076272
-2.4822421222506237,-3.127790675620386,-4.058571063480112
-2.1971087299619554,-2.881702554520502,-4.251607317615055
-1.7834779545500952,-2.7033546305782474,-4.522234540187927
-1.4589025308641113,-2.457354154366076,-4.740176938106031
-0.5496507954733506,-1.8198719756244728,-5.347992885655017
-0.8788275983760797,-2.0230660390051103,-5.1293973225911556
-1.3731850325719988,-2.3609163096863286,-4.799389981484194
-2.2740114382672596,-3.032945232076297,-4.195077045129821
-2.1230413612043755,-2.8985852958191294,-4.297498143077809
-1.7872760395318525,-2.6037695790345268,-4.525077068175435
-1.8208336980286959,-2.7055326537603914,-4.498526806244487
-1.483608708805957,-2.44919082491623,-4.725002685166436
-2.3149917064948,-2.960814781633102,-4.172991109956805
-1.7198635311498804,-2.6428002010293206,-4.565599145995901
-2.226385184682677,-2.8845818831985492,-4.2329653815452275
-1.5611484327123215,-2.526519995459721,-4.671960271618023
-1.9137272570322963,-2.713257170316698,-4.439450636528724
-2.366791961924847,-3.065701738289228,-4.134754793019085
-2.034875234107936,-2.870864710044452,-4.354640991021596
-2.7111257941271285,-3.2162745549974914,-3.9093559086435254
-3.297413717443085,-3.71821665992533,-3.512650793658298
-3.7960460281239077,-4.019535895067927,-3.181866216641852
-2.9291691535572655,-3.356787462605315,-3.764248897024079
-2.9983601053521234,-3.4966748113204176,-3.713186856484427
-2.188222963939723,-2.871408296124609,-4.257761183439406
-1.8419750461250606,-2.633407807712419,-4.488970420396678
-1.3818488755082226,-2.3680198750671475,-4.7935442088202205
-1.1103700443452567,-2.1865169565391094,-4.974557308424622
-1.6530001472248208,-2.4832217976232154,-4.616227514969944
-0.9973943990801554,-2.140469757645687,-5.048333884323287
-1.9130004479923044,-2.7426796640129467,-4.438361121517337
-1.302669994462922,-2.343428936535949,-4.8448461830873155
-0.7902755752028485,-2.034144955208858,-5.184741815321419
