Cl,Cs,Hf
-1.2649199825715989,-3.341169322809223,-7.517472584374027
-1.3434911656200297,-3.700125533369693,-6.3281330649625005
-1.6210105116653208,-2.9215946199626663,-6.2200788155048095
-1.3558634011760355,-3.451397443763005,-6.751355830839842
-1.455927373561008,-3.3201177035854568,-6.413531476885105
-1.6085213834344056,-3.0840572973756784,-5.970088230064275
-1.3074486558894987,-3.7586362293272084,-6.427366731430657
-1.400687832290538,-3.109222013936313,-7.1667601038062125
-1.699647033496966,-3.36254687509856,-4.866355174243149
-1.709944933632147,-3.058346129276335,-5.412969265076512
-1.9884729020837741,-2.6834718504389308,-4.491550012041561
-2.1374182207155457,-2.8889150233582575,-3.1869917544122783
-2.3604816744218535,-2.1641527126712536,-3.2981356535484365
-2.571407430533676,-2.0073195723703026,-2.3462473974794023
-2.581887526438884,-2.245694202546513,-1.8066175616957325
-2.5317004655905513,-2.123625035614239,-2.3518782606502793
-2.2247124656558626,-2.7116923957500125,-3.0176715399868637
-2.408894196852064,-2.179596027331381,-2.976773889646919
-2.158603575431461,-2.9132935051950635,-3.0111226624431713
-1.8371959274799994,-2.9977051239231467,-4.770745312695775
-2.199829111842951,-2.6783918995088043,-3.2335726553467494
-2.4237173845905433,-2.6409215083455067,-1.9651838011877918
-2.224264217241009,-2.8775394248703523,-2.6886669722353096
-2.404665380504807,-2.1099838998653575,-3.1413710426625077
-2.6936645835575095,-1.8174037062407997,-1.9925362115954104
-2.3755730600794034,-2.238532301178949,-3.058828162587748
-2.557750575120269,-2.449432250809404,-1.5439631730816414
-2.2783404576759594,-2.6004648410050946,-2.918358697356119
-2.2932785200526844,-2.800497530597585,-2.428664943910789
-2.596078383244342,-2.4240689046913992,-1.3647230165732154
-2.896475731741886,-2.109786780811536,-0.19090317334767828
-3.0423031188037246,-1.7111771349761002,-0.11315814264751764
-2.811889910925373,-1.7359393323279237,-1.4461129952139793
-2.7093429977783345,-1.9478556687042903,-1.6375618013434792
-2.3911931398074966,-2.3951791347585303,-2.6518140170600253
-2.2131222263278643,-2.572307541342244,-3.3659826847703913
-2.2970714488786745,-2.567378521447585,-2.8721453892548507
-2.305745963045468,-2.7065360827656932,-2.5417831816178693
-2.5600463501869433,-2.214228366492586,-2.0005962913152335
-2.5908951792437733,-1.9563184351130956,-2.3313231797332326
-2.5119021398406973,-2.3569667702473995,-2.0039847458830815
-2.414929257388654,-2.126659683446839,-3.046436214196464
-2.5904462464413167,-2.2078731284615998,-1.8309073898509665
-2.6454394780330257,-2.4118180061939474,-1.0930582448360169
-2.2889192144837414,-2.6863700356022746,-2.683075767315069
-2.1371552926683535,-2.773656013463484,-3.4190873424849784
-2.263435698838592,-2.3818422436957136,-3.4450324449990832
-2.0334052550029247,-2.550869062600107,-4.487161470204306
-2.035949383583393,-2.769614361537996,-4.0344061008457155
-2.0821427187777863,-2.529867646954162,-4.236739518847024
-2.3847539749237807,-2.2596558817181034,-2.961495512443176
-2.0596734321433536,-2.5701918469473664,-4.290906838667211
-1.7089402068233326,-2.980997697341689,-5.573694489798692
-1.3848816363667964,-3.4509449860200143,-6.57815133518126
-1.4743359807177518,-3.441744895720396,-6.059825449674763
-1.147350989922875,-3.3963284654826538,-8.112568254919509
-1.1665898201952227,-3.419235151345083,-7.951321901560564
-1.3367646946748024,-3.6964556260479964,-6.37583170527726
-1.3842934316258457,-3.210853059429515,-7.0618644168079605
-1.248380847272977,-3.8585335327504438,-6.5819789762833185
-1.5754478092678807,-3.3653595210050233,-5.605925227804734
-1.6778245371045861,-3.237295170483073,-5.247793561828401
-1.6467899910209458,-3.1355327985101096,-5.637525582276173
-1.9320826027417835,-2.613154409934553,-4.970526689102258
-1.6259037536807621,-3.094202028023861,-5.845504547289772
-1.9637978349941225,-3.0672476290690733,-3.8720488573191845
-2.083042534718019,-2.970062170313506,-3.35095157648694
-1.9164137507612413,-2.841185362364533,-4.608477896125552
-2.192080849843985,-2.6411155845638707,-3.3546148572304135
-1.9280175511941244,-2.7945983677140016,-4.632029082829316
-1.8345441327879057,-3.1598234335881155,-4.4624194615184
-1.6148206109545367,-3.2097148609687576,-5.680977737757331
-1.4707860325553341,-3.4027779199173374,-6.1590590902553854
-1.7799768463938233,-3.009462756274301,-5.090544534510525
-1.8149854736705628,-3.1181929347934627,-4.663032413811764
-1.6782394236278846,-3.130856764242096,-5.458181055170568
-1.392501352438015,-3.5845239061838616,-6.265275198426253
-1.4901842688559608,-3.0716656275080534,-6.704894257270193
-1.1815930448604106,-3.330759822122851,-8.0382532120139
-1.128769008137445,-3.666608844206265,-7.683499388184864
-1.364871425053375,-3.2076888280000966,-7.184724919101622
-1.1658045859988466,-3.893109389297943,-7.0082848308331
-1.0803289669827105,-3.755508185576338,-7.796340952373128
-0.9423386991294482,-3.9122427541834357,-8.310813422278505
-0.7488339704754786,-4.044704766820285,-9.206917768928625
-0.9864891313634522,-3.940834512680727,-7.988727311879899
-0.7642840904912328,-3.941345031244534,-9.320936519985603
-0.9430224527693357,-4.019085114015444,-8.093026180775164
-1.1699746136776596,-3.7543516448823886,-7.260780153591331
-1.3046885429398158,-3.356407358869399,-7.2483851500443714
-1.3946344937651227,-3.593324230982403,-6.234875700866523
-1.424015897797243,-3.1351986957442772,-6.974838347150053
-1.1519067817144586,-3.4914038471585283,-7.89508274081826
-0.8277397212893276,-4.062117507176301,-8.698657783333498
-1.1599849834666596,-3.474287875738888,-7.880845473144333
-1.140171061646205,-3.9613819830390056,-7.025540789466823
-0.7878530136447038,-4.21501734873547,-8.632178346082902
-1.0011379417963493,-3.899875656544799,-7.982752161554373
-0.7135058507754143,-3.9742251747644146,-9.559845671240751
-0.7389581927372604,-4.180765322294808,-8.994051324408888
-0.8308563612512702,-3.7906208823133754,-9.222951193287694
-0.6619584484151372,-3.9122350767128746,-9.993110281505496
-0.3937187320063784,-4.184382607760386,-11.058253517863022
-0.5897961675288744,-3.965918228523301,-10.318717663202218
-0.4830008007782351,-4.562812865045893,-9.765700590660868
-0.4254094963315692,-4.579977182877362,-10.076919781677928
-0.753646665524536,-3.94890579216179,-9.36963954795127
-1.1022920682524011,-4.007993493527863,-7.159591728851932
-1.225332427338867,-3.8478366096797085,-6.741663342029447
-1.1201318985527045,-3.6785003797789453,-7.711538974547947
-1.4149479898716801,-3.5169075717261573,-6.26582804273967
-1.3926079748573206,-3.383677209457139,-6.6663288573638635
-1.7389477471747896,-3.126397827523072,-5.102848987327184
-1.8176433505502765,-2.704943035073405,-5.473584951973595
-1.8614225588895381,-2.828524990128408,-4.9637457918280194
-1.6868660089904322,-3.2977544869660935,-5.072626097547286
-1.8502505419934312,-3.0469424978793276,-4.593942877702825
-1.6455387248848723,-3.0407932259195616,-5.834512324273709
-1.4066224519058406,-3.6932806310391384,-5.963035151908745
-1.6721465968401787,-3.3947875290274596,-4.9668764863260755
-1.460730289380574,-3.2022727149203973,-6.6204039592978265
-1.1155855617721835,-3.459744038827548,-8.17632967713387
