Al,O,Y
-6.4322278316214385,-1.4635548186776235,-7.9705178009204385
-7.169471727520459,-1.0166267492484138,-8.529490252138912
-6.767955274479763,-1.271203154068021,-8.18037872126164
-7.69571691514723,-0.7021649262851555,-8.91026223128066
-8.051947671651284,-0.44685922955017926,-9.33776709071381
-7.675207548738405,-0.6898374032504102,-8.99375460076768
-8.159351809463077,-0.3688181102718934,-9.470924671473965
-8.44265729062824,-0.1839800022930972,-9.73810130144721
-7.608089100742943,-0.7620393903664726,-8.816810732295867
-7.4817800388549855,-0.792439653511334,-8.90572478286302
-8.27851858233989,-0.2013728397551385,-9.94209446541296
-7.4120298653627446,-0.800388921392977,-8.990178000490184
-7.354584311660792,-0.8799096035283785,-8.76783786145183
-6.963169977921468,-1.1105442938399361,-8.497656323104472
-7.050332890433166,-1.064066940620509,-8.53829421512935
-6.578119208747561,-1.328897991155481,-8.265992815798807
-6.7738143993797495,-1.222921674348744,-8.363739431972105
-6.765042433694053,-1.277241008571436,-8.16108203789083
-5.921422717001643,-1.7822812566510382,-7.546953906726439
-5.600392417249792,-2.0322165077525556,-7.08226340190679
-5.9918570856839475,-1.7372385066000657,-7.609734292459823
-6.1029344631128435,-1.774275969330618,-7.276455479156122
-6.929419426141055,-1.1975372682879375,-8.20593534494649
-6.592940309681632,-1.3172793734399824,-8.287765451770682
-6.395086557677567,-1.5145804430323664,-7.828317426741252
-6.2960922631196015,-1.5927391282741232,-7.680673176704169
-7.07508014551898,-1.0532668599995247,-8.540249112470267
-6.155004434594833,-1.6278120737159287,-7.775527775811563
-5.599532765023409,-2.0422590369563483,-7.043526038802256
-4.979122345780632,-2.4541114221535474,-6.430133863418088
-5.83512860935103,-1.9361082258823235,-7.07546954255232
-6.200515032232429,-1.6362908959345681,-7.665761490874344
-6.759997765013182,-1.326232480405499,-7.973523931689367
-7.472061927100009,-0.7398961030060608,-9.132095837809073
-7.855303379569297,-0.49727653839088803,-9.463838342154284
-8.118514923546858,-0.40719553000715014,-9.385476469059967
-8.717121528659078,-0.008948231136356352,-9.980787989356108
-7.805559110560838,-0.5825496031607996,-9.205653198088736
-7.399489557901456,-0.8662498431505319,-8.747634825895444
-6.540272600049529,-1.4783096551594122,-7.731423840946467
-7.236851705136373,-0.9705846884933627,-8.601358532465927
-7.539053042396904,-0.8030351276866444,-8.76788788025858
-7.661492326185231,-0.736314839448842,-8.830703560229246
-8.519160526597393,-0.13667183688602735,-9.799828569793567
-8.26496929394236,-0.24392137754611265,-9.794482461578282
-8.595822591391673,-0.045379189895065127,-10.03722904976695
-7.891186629007584,-0.5655282088648831,-9.131026244527828
-7.46445240539171,-0.8357540426354051,-8.761346615472196
-6.566944812527862,-1.4283332960772879,-7.886875589811076
