 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
   4.388      0.2068E+05      0.2068E+05      0.2068E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.425      0.2134E+05      0.2134E+05      0.2134E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.462      0.2204E+05      0.2204E+05      0.2204E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.499      0.2281E+05      0.2281E+05      0.2281E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.536      0.2364E+05      0.2364E+05      0.2364E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.573      0.2455E+05      0.2455E+05      0.2455E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.609      0.2556E+05      0.2556E+05      0.2556E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.646      0.2668E+05      0.2668E+05      0.2668E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.683      0.2791E+05      0.2791E+05      0.2791E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.720      0.2929E+05      0.2929E+05      0.2929E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.757      0.3084E+05      0.3084E+05      0.3084E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.794      0.3261E+05      0.3261E+05      0.3261E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.831      0.3462E+05      0.3462E+05      0.3462E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.868      0.3695E+05      0.3695E+05      0.3695E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.904      0.3965E+05      0.3965E+05      0.3965E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.941      0.4285E+05      0.4285E+05      0.4285E+05      0.0000E+00      0.0000E+00      0.0000E+00
   4.978      0.4671E+05      0.4671E+05      0.4671E+05      0.0000E+00      0.0000E+00      0.0000E+00
   5.015      0.5141E+05      0.5141E+05      0.5141E+05      0.0000E+00      0.0000E+00      0.0000E+00
   5.052      0.5728E+05      0.5728E+05      0.5728E+05      0.0000E+00      0.0000E+00      0.0000E+00
   5.089      0.6479E+05      0.6479E+05      0.6479E+05      0.0000E+00      0.0000E+00      0.0000E+00
   5.126      0.7469E+05      0.7469E+05      0.7469E+05      0.0000E+00      0.0000E+00      0.0000E+00
   5.163      0.8809E+05      0.8809E+05      0.8809E+05      0.0000E+00      0.0000E+00      0.0000E+00
   5.199      0.1065E+06      0.1065E+06      0.1065E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.236      0.1312E+06      0.1312E+06      0.1312E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.273      0.1615E+06      0.1615E+06      0.1615E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.310      0.1975E+06      0.1975E+06      0.1975E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.347      0.2422E+06      0.2422E+06      0.2422E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.384      0.2940E+06      0.2940E+06      0.2940E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.421      0.3457E+06      0.3457E+06      0.3457E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.458      0.3936E+06      0.3936E+06      0.3936E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.495      0.4291E+06      0.4291E+06      0.4291E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.531      0.4385E+06      0.4385E+06      0.4385E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.568      0.4162E+06      0.4162E+06      0.4162E+06      0.0000E+00      0.0000E+00      0.0000E+00
   5.605      0.3705E+06      0.3705E+06      0.3705E+06      0.0000E+00      0.0000E+00      0.0000E+00
