#K-Path             Spin-Up       Spin-Down
#Band-index    1
  1.385      -29.9110      -29.9109
  1.418      -29.9110      -29.9109
  1.418      -29.9110      -29.9109
  1.444      -29.9110      -29.9109
  1.471      -29.9110      -29.9109
  1.498      -29.9110      -29.9109
  1.525      -29.9110      -29.9109
  1.551      -29.9110      -29.9109
  1.578      -29.9110      -29.9109
  1.605      -29.9110      -29.9109
  1.632      -29.9110      -29.9109
  1.658      -29.9110      -29.9109
  1.685      -29.9110      -29.9109
  1.712      -29.9110      -29.9109
  1.739      -29.9110      -29.9109
  1.765      -29.9110      -29.9109
  1.792      -29.9110      -29.9109
  1.819      -29.9110      -29.9109
  1.846      -29.9110      -29.9109
  1.873      -29.9110      -29.9109
  1.899      -29.9110      -29.9109
  1.926      -29.9110      -29.9109
  1.926      -29.9110      -29.9109
  1.948      -29.9110      -29.9109
  1.970      -29.9110      -29.9109
  1.992      -29.9110      -29.9109
  2.013      -29.9110      -29.9109
  2.035      -29.9110      -29.9109
  2.057      -29.9110      -29.9109
  2.079      -29.9110      -29.9109
  2.101      -29.9110      -29.9109
  2.123      -29.9110      -29.9109
  2.145      -29.9110      -29.9109
  2.166      -29.9110      -29.9109
  2.188      -29.9110      -29.9109
  2.210      -29.9110      -29.9109
  2.232      -29.9110      -29.9109
  2.254      -29.9110      -29.9109
  2.276      -29.9110      -29.9109
  2.298      -29.9110      -29.9109
  2.319      -29.9110      -29.9109
  2.341      -29.9110      -29.9109
  2.341      -29.9110      -29.9109
  2.357      -29.9110      -29.9109
  2.372      -29.9110      -29.9109
  2.388      -29.9110      -29.9109
  2.403      -29.9110      -29.9109
  2.419      -29.9110      -29.9109
  2.434      -29.9110      -29.9109
  2.449      -29.9110      -29.9109
  2.465      -29.9110      -29.9109
  2.480      -29.9110      -29.9109
  2.496      -29.9110      -29.9109
  2.511      -29.9110      -29.9109
  2.527      -29.9110      -29.9109
  2.542      -29.9110      -29.9109
  2.558      -29.9110      -29.9109
  2.573      -29.9110      -29.9109
  2.588      -29.9110      -29.9109
  2.604      -29.9110      -29.9109
  2.619      -29.9110      -29.9109
  2.635      -29.9110      -29.9109
#Band-index    4
  2.635      -19.1509      -19.1509
  2.619      -19.1509      -19.1509
  2.604      -19.1509      -19.1508
  2.588      -19.1508      -19.1508
  2.573      -19.1508      -19.1508
  2.558      -19.1507      -19.1507
  2.542      -19.1507      -19.1506
  2.527      -19.1506      -19.1505
  2.511      -19.1505      -19.1505
  2.496      -19.1504      -19.1503
  2.480      -19.1502      -19.1502
  2.465      -19.1501      -19.1501
  2.449      -19.1500      -19.1500
  2.434      -19.1498      -19.1498
  2.419      -19.1497      -19.1497
  2.403      -19.1495      -19.1495
  2.388      -19.1494      -19.1493
  2.372      -19.1492      -19.1492
  2.357      -19.1490      -19.1490
  2.341      -19.1489      -19.1488
  2.341      -19.1489      -19.1488
  2.319      -19.1489      -19.1489
  2.298      -19.1489      -19.1489
  2.276      -19.1489      -19.1489
  2.254      -19.1489      -19.1489
  2.232      -19.1489      -19.1489
  2.210      -19.1489      -19.1489
  2.188      -19.1490      -19.1489
  2.166      -19.1490      -19.1490
  2.145      -19.1490      -19.1490
  2.123      -19.1490      -19.1490
  2.101      -19.1491      -19.1490
  2.079      -19.1491      -19.1491
  2.057      -19.1491      -19.1491
  2.035      -19.1491      -19.1491
  2.013      -19.1492      -19.1491
  1.992      -19.1492      -19.1491
  1.970      -19.1492      -19.1492
  1.948      -19.1492      -19.1492
  1.926      -19.1492      -19.1492
  1.926      -19.1492      -19.1492
  1.899      -19.1497      -19.1496
  1.873      -19.1502      -19.1502
  1.846      -19.1507      -19.1507
  1.819      -19.1512      -19.1512
  1.792      -19.1518      -19.1517
  1.765      -19.1523      -19.1523
  1.739      -19.1528      -19.1528
  1.712      -19.1533      -19.1532
  1.685      -19.1537      -19.1537
  1.658      -19.1542      -19.1541
  1.632      -19.1546      -19.1545
  1.605      -19.1549      -19.1549
  1.578      -19.1552      -19.1552
  1.551      -19.1555      -19.1555
  1.525      -19.1558      -19.1557
  1.498      -19.1559      -19.1559
  1.471      -19.1561      -19.1560
  1.444      -19.1562      -19.1561
  1.418      -19.1562      -19.1562
  1.418      -19.1562      -19.1562
  1.385      -19.1561      -19.1561
  1.352      -19.1560      -19.1560
  1.319      -19.1558      -19.1558
  1.286      -19.1556      -19.1555
  1.254      -19.1552      -19.1552
  1.221      -19.1548      -19.1548
  1.188      -19.1544      -19.1543
  1.155      -19.1538      -19.1538
  1.123      -19.1533      -19.1533
  1.090      -19.1528      -19.1527
  1.057      -19.1522      -19.1522
  1.024      -19.1516      -19.1516
  0.991      -19.1510      -19.1510
  0.959      -19.1504      -19.1504
  0.926      -19.1499      -19.1499
  0.893      -19.1494      -19.1494
  0.860      -19.1490      -19.1489
  0.828      -19.1494      -19.1493
  0.795      -19.1497      -19.1497
  0.795      -19.1497      -19.1497
  0.784      -19.1498      -19.1498
  0.773      -19.1500      -19.1499
  0.762      -19.1501      -19.1500
  0.751      -19.1502      -19.1501
  0.740      -19.1503      -19.1502
  0.729      -19.1503      -19.1503
  0.718      -19.1504      -19.1504
  0.707      -19.1505      -19.1505
  0.696      -19.1506      -19.1505
  0.686      -19.1506      -19.1506
  0.675      -19.1507      -19.1507
  0.664      -19.1507      -19.1507
  0.653      -19.1508      -19.1508
  0.642      -19.1508      -19.1508
  0.631      -19.1508      -19.1508
  0.620      -19.1509      -19.1508
  0.609      -19.1509      -19.1509
  0.598      -19.1509      -19.1509
  0.587      -19.1509      -19.1509
  0.587      -19.1509      -19.1509
  0.556      -19.1509      -19.1509
  0.525      -19.1510      -19.1510
  0.494      -19.1512      -19.1512
  0.464      -19.1515      -19.1514
  0.433      -19.1518      -19.1517
  0.402      -19.1521      -19.1521
  0.371      -19.1525      -19.1525
  0.340      -19.1529      -19.1529
  0.309      -19.1533      -19.1533
  0.278      -19.1538      -19.1537
  0.247      -19.1542      -19.1542
  0.216      -19.1546      -19.1546
  0.185      -19.1550      -19.1550
  0.155      -19.1553      -19.1553
  0.124      -19.1556      -19.1556
  0.093      -19.1559      -19.1558
  0.062      -19.1560      -19.1560
  0.031      -19.1561      -19.1561
  0.000      -19.1562      -19.1562
#Band-index    5
  0.000      -19.1436      -19.1436
  0.031      -19.1436      -19.1436
  0.062      -19.1437      -19.1437
  0.093      -19.1438      -19.1438
  0.124      -19.1439      -19.1439
  0.155      -19.1441      -19.1441
  0.185      -19.1443      -19.1443
  0.216      -19.1446      -19.1446
  0.247      -19.1448      -19.1448
  0.278      -19.1451      -19.1451
  0.309      -19.1454      -19.1453
  0.340      -19.1456      -19.1456
  0.371      -19.1459      -19.1459
  0.402      -19.1461      -19.1461
  0.433      -19.1463      -19.1463
  0.464      -19.1465      -19.1465
  0.494      -19.1466      -19.1466
  0.525      -19.1468      -19.1467
  0.556      -19.1468      -19.1468
  0.587      -19.1468      -19.1468
  0.587      -19.1468      -19.1468
  0.598      -19.1468      -19.1468
  0.609      -19.1469      -19.1468
  0.620      -19.1469      -19.1468
  0.631      -19.1469      -19.1469
  0.642      -19.1469      -19.1469
  0.653      -19.1470      -19.1469
  0.664      -19.1470      -19.1470
  0.675      -19.1471      -19.1470
  0.686      -19.1471      -19.1471
  0.696      -19.1472      -19.1472
  0.707      -19.1473      -19.1472
  0.718      -19.1473      -19.1473
  0.729      -19.1474      -19.1474
  0.740      -19.1475      -19.1475
  0.751      -19.1476      -19.1476
  0.762      -19.1477      -19.1477
  0.773      -19.1478      -19.1478
  0.784      -19.1479      -19.1479
  0.795      -19.1481      -19.1480
  0.795      -19.1481      -19.1480
  0.828      -19.1485      -19.1484
  0.860      -19.1489      -19.1489
  0.893      -19.1486      -19.1485
  0.926      -19.1481      -19.1481
  0.959      -19.1477      -19.1476
  0.991      -19.1472      -19.1472
  1.024      -19.1468      -19.1467
  1.057      -19.1463      -19.1463
  1.090      -19.1459      -19.1459
  1.123      -19.1455      -19.1455
  1.155      -19.1451      -19.1451
  1.188      -19.1448      -19.1448
  1.221      -19.1445      -19.1445
  1.254      -19.1442      -19.1442
  1.286      -19.1440      -19.1440
  1.319      -19.1438      -19.1438
  1.352      -19.1437      -19.1437
  1.385      -19.1436      -19.1436
  1.418      -19.1436      -19.1436
  1.418      -19.1436      -19.1436
  1.444      -19.1436      -19.1436
  1.471      -19.1437      -19.1437
  1.498      -19.1438      -19.1437
  1.525      -19.1439      -19.1438
  1.551      -19.1440      -19.1440
  1.578      -19.1442      -19.1442
  1.605      -19.1444      -19.1444
  1.632      -19.1447      -19.1446
  1.658      -19.1449      -19.1449
  1.685      -19.1452      -19.1452
  1.712      -19.1456      -19.1456
  1.739      -19.1459      -19.1459
  1.765      -19.1463      -19.1463
  1.792      -19.1467      -19.1467
  1.819      -19.1472      -19.1472
  1.846      -19.1476      -19.1476
  1.873      -19.1481      -19.1481
  1.899      -19.1486      -19.1486
  1.926      -19.1491      -19.1491
  1.926      -19.1491      -19.1491
  1.948      -19.1491      -19.1491
  1.970      -19.1491      -19.1491
  1.992      -19.1491      -19.1490
  2.013      -19.1491      -19.1490
  2.035      -19.1490      -19.1490
  2.057      -19.1490      -19.1490
  2.079      -19.1490      -19.1490
  2.101      -19.1490      -19.1490
  2.123      -19.1490      -19.1490
  2.145      -19.1490      -19.1489
  2.166      -19.1490      -19.1489
  2.188      -19.1489      -19.1489
  2.210      -19.1489      -19.1489
  2.232      -19.1489      -19.1489
  2.254      -19.1489      -19.1489
  2.276      -19.1489      -19.1489
  2.298      -19.1489      -19.1489
  2.319      -19.1489      -19.1489
  2.341      -19.1489      -19.1488
  2.341      -19.1489      -19.1488
  2.357      -19.1487      -19.1487
  2.372      -19.1485      -19.1485
  2.388      -19.1484      -19.1484
  2.403      -19.1482      -19.1482
  2.419      -19.1481      -19.1480
  2.434      -19.1479      -19.1479
  2.449      -19.1478      -19.1477
  2.465      -19.1476      -19.1476
  2.480      -19.1475      -19.1475
  2.496      -19.1474      -19.1474
  2.511      -19.1473      -19.1473
  2.527      -19.1472      -19.1472
  2.542      -19.1471      -19.1471
  2.558      -19.1470      -19.1470
  2.573      -19.1470      -19.1469
  2.588      -19.1469      -19.1469
  2.604      -19.1469      -19.1468
  2.619      -19.1468      -19.1468
  2.635      -19.1468      -19.1468
#Band-index    6
  2.635      -13.4295      -13.4294
  2.619      -13.4294      -13.4294
  2.604      -13.4294      -13.4294
  2.588      -13.4293      -13.4293
  2.573      -13.4293      -13.4293
  2.558      -13.4292      -13.4292
  2.542      -13.4291      -13.4290
  2.527      -13.4289      -13.4289
  2.511      -13.4288      -13.4288
  2.496      -13.4286      -13.4286
  2.480      -13.4285      -13.4285
  2.465      -13.4283      -13.4283
  2.449      -13.4282      -13.4282
  2.434      -13.4281      -13.4280
  2.419      -13.4279      -13.4279
  2.403      -13.4278      -13.4278
  2.388      -13.4278      -13.4278
  2.372      -13.4277      -13.4277
  2.357      -13.4277      -13.4277
  2.341      -13.4276      -13.4276
  2.341      -13.4276      -13.4276
  2.319      -13.4277      -13.4277
  2.298      -13.4279      -13.4279
  2.276      -13.4283      -13.4283
  2.254      -13.4288      -13.4288
  2.232      -13.4294      -13.4294
  2.210      -13.4301      -13.4301
  2.188      -13.4309      -13.4309
  2.166      -13.4317      -13.4317
  2.145      -13.4326      -13.4326
  2.123      -13.4335      -13.4334
  2.101      -13.4343      -13.4343
  2.079      -13.4352      -13.4351
  2.057      -13.4359      -13.4359
  2.035      -13.4366      -13.4366
  2.013      -13.4372      -13.4372
