Bi,Cl,Cs
-3.2622276583298633,-0.8905437574582152,-3.9060681000031474
-3.476651335430135,-0.8038451688479459,-4.023214747767107
-2.48098635540827,-1.0384355334039668,-3.9832203074469543
-2.9685878767803984,-1.0283270976881638,-3.6884779336796116
-2.885946979005345,-0.9235077535603803,-4.058029897912998
-2.18132410608604,-1.1746332561636612,-3.774401972049359
-1.6322506436109294,-1.3315912186942145,-3.6695770594411052
-1.5725180613379404,-1.47396383853266,-3.282280921441095
-2.2217872034060218,-1.2785092367894049,-3.4357986319588063
-2.3046072751787814,-1.2145100709631822,-3.572582748255634
-1.8202913985397349,-1.253379538573805,-3.778851596516464
-2.2501931487523517,-1.138513169478078,-3.8368495369952345
-2.7117432667886496,-1.1300004091937297,-3.554687739157413
-2.217986613608707,-1.1552969402326578,-3.80796924816059
-1.4498177879756413,-1.4276892000493264,-3.502905019132628
-0.9658157666545641,-1.6341010554422866,-3.2063374671678
-0.044339465506982256,-1.9254340850393195,-2.9466559124750886
-0.7551021264007238,-1.6412650540126206,-3.3253212316260248
-1.6373746554244457,-1.4602280629560562,-3.2802505187799027
-1.5079585931517732,-1.4322009018926098,-3.45060937681869
-0.5849301613874286,-1.70949544440279,-3.234078037131046
-0.9857433136497,-1.5938842237658626,-3.313702930866981
-0.31592942974675975,-1.866656226795044,-2.941929511048064
-0.6170271095940828,-1.82503255182153,-2.866068749403724
-0.26897954158695025,-1.7804707378562123,-3.2317859033044316
-1.2436477697356683,-1.5438871705251023,-3.291757786531949
-0.7110593875153216,-1.7588535420891656,-3.001917593319991
-1.2558387885956384,-1.553065319185144,-3.256095994645178
-0.30591498739770767,-1.7698649643488993,-3.2389795932858663
-0.8524810001076216,-1.640935231391001,-3.261391450352951
-1.9708003509189191,-1.37026678742912,-3.3278505483643963
-1.3672251681006886,-1.5203439639724388,-3.280002473946593
-2.0046621813848655,-1.3323894090685053,-3.418908129802275
-2.1851500702319058,-1.1754702559366939,-3.7693403299663495
-2.432348067847159,-1.0573511062457184,-3.9588991139624414
-2.9467305742740466,-0.8814998721466535,-4.143531145308376
-3.824783228205941,-0.6457561850766451,-4.265393770563806
-3.0924953113883706,-0.8294572473144224,-4.202482528395521
-3.880161280432374,-0.70791842696462,-4.041988343415592
-4.431614112087427,-0.5110970885733656,-4.264817137485988
-4.523884813109961,-0.5193377881132198,-4.178581238184735
-4.1406264436405165,-0.4895671064035715,-4.523398862959977
-4.018955883291588,-0.5818294117637305,-4.327725653778785
-3.361757916819208,-0.8599688372523825,-3.931439354961082
-3.067624007762704,-0.8753553209885292,-4.081369176456978
-2.3533560295974802,-1.1261718238500529,-3.805098319982556
-3.1620237838711374,-0.863894761233183,-4.052817671650728
-2.956097206170094,-0.9427682136469377,-3.953481699543493
-3.5913950377524104,-0.7049188007172082,-4.243498050611137
-3.5900482322096448,-0.6867889194387637,-4.298785564808314
-3.3805419537190993,-0.7673855135760338,-4.196666634723535
-4.073841555339121,-0.6349153782205116,-4.1318773063767535
-3.333543750203539,-0.8548489136278596,-3.9656085702450974
-2.974287750723714,-0.9888736887223232,-3.803038244614923
-2.7347821279776765,-1.0288799977824206,-3.8426897325986564
